说话人01(00:00:00): 我看里面对照的，这都是。
说话人01(01:09:53): 你那个实力我就笑了。

说话人04(01:09:56): 我12点以下！

说话人03(01:09:58): 那你快过！你先过你过我就不用过。

说话人01(01:10:00): 你先过你过？

说话人03(01:10:01): 那我完蛋了，直接被我。

说话人02(01:10:06): 我们的小玉率先挣脱这些，你过了吗？

说话人01(01:10:11): 我也挣脱我这个一点我也挣脱。

说话人02(01:10:12): 好，你也挣脱了，也就剩这只仙猫。

说话人04(01:10:14): 猫体型大，这是合理的！

说话人03(01:10:20): 龙子我们先不用管你的睫毛，咱们先去收集战利品！

说话人04(01:10:23): 我觉得可以。

说话人01(01:10:25): 我觉得可以看剧。

说话人04(01:10:26): B我也过了。

说话人01(01:10:26): 我们走吧，这只猫怎么说？

说话人04(01:10:30): 我过了。

说话人03(01:10:31): 我们先去收集战利品！

说话人04(01:10:31): 我过了让我点吧！

说话人03(01:10:33): 不要先管这只猫了。

说话人02(01:10:34): 又来了一次好的。

说话人01(01:10:38): 看狙我们快走吧！

说话人02(01:10:41): 行那。

说话人04(01:10:43): 还有几轮？

说话人02(01:10:47): 这里没有倒计时，我这是正计时。

说话人04(01:10:49): 这么坏，原来如此，那右边为啥还没看吧，右边那个风油？

说话人02(01:11:02): 你想过去看？

说话人04(01:11:04): 猫为什么斜着走？

说话人01(01:11:06): 不是你。

说话人02(01:11:07): 我也知道你为什么挣不来了。

说话人01(01:11:07): 那我有钩子，我能尝试用钩子，那等会我有钩子。

说话人04(01:11:12): 搁这卖萌？

说话人01(01:11:13): 我能尝试用这钩子把跟蜂蛹那一条路的蜘蛛网给破坏掉吗？

说话人02(01:11:21): 把植物给破坏掉吗？你的？

说话人01(01:11:26): 钩子包里的钩子。

说话人02(01:11:28): 你拿的是哪个钩子？

说话人01(01:11:30): ***！

说话人02(01:11:33): 你哪来的垃圾钩，你的钩子不被这里的东西勾住就不错了。

说话人01(01:11:39): 那算了，中间要去吗？

说话人01(01:11:42): 那去吧，相信你。

说话人04(01:11:46): 管的你我都不去了。

说话人01(01:11:46): 我要过去。过你的敏捷去吧！

说话人02(01:11:48): 好，那就敏捷。

说话人04(01:11:52): 相信我只不过是两个20都必须要8点以下，哈哈我完蛋了。

说话人02(01:12:02): 实在又被捆住了饿！

说话人01(01:12:05): 你个**还是我去看！

说话人02(01:12:09): 那**倒是一开始就去逼养的。

说话人04(01:12:11): 对！

说话人01(01:12:12): 去了来过敏优势。

说话人04(01:12:15): 现在我出去的时候还要过一个。

说话人01(01:12:17): 10点，我也被困住了。

说话人02(01:12:20): 两个**来的？好好好！

说话人03(01:12:24): 别行为艺术我也看看。

说话人02(01:12:26): 拉到我了我看一看。

说话人03(01:12:28): 行，那你先。

说话人02(01:12:31): 他妈无事发生继续。

说话人03(01:12:34): Ok那我过去看看了。

说话人01(01:12:36): 来，我们蹭拖把你聊吧！

说话人02(01:12:37): 气笑了小玉。咦 ok你来到蜂蛹这里？

说话人01(01:12:43): 法师速度快！

说话人02(01:12:45): 蜂蛹只是蜂的尸体而已。

说话人01(01:12:49): 中间别说了。

说话人02(01:12:49): 但你扒开它。

说话人01(01:12:50): 我们挣脱吧！

说话人02(01:12:52): 往后一看后面的蜂巢格子看到了一个银链。

说话人03(01:13:01): 买项链吗？

说话人02(01:13:02): 对银链，不过我看一下，我确认一下你的背包还够吗？你的背包是不够的。

说话人01(01:13:09): 见者有份。

说话人02(01:13:10): 所以两罐优质蜜蜂是放到谁那边去了？

说话人03(01:13:17): 不是你们谁背包够？

说话人04(01:13:19): 我们啥时候拿的有这些蜜蜂？

说话人03(01:13:20): 我拿的我给你带下来。

说话人04(01:13:22): 那我拿着吧！

说话人03(01:13:23): 然后你们谁拿一下？

说话人04(01:13:25): 那我拿着吧！

说话人02(01:13:26): 两个占据各一格。

说话人04(01:13:27): 我也拿一个！

说话人01(01:13:31): 那我就五格就占完了已经。

说话人04(01:13:36): 两两个人搁这一起写笑，笑死我了。

说话人02(01:13:39): 要干嘛？银链的话只能塞到笼子的背包里面了，确实。

说话人04(01:13:50): 鱼游过来，然后自己把东西放笼子，背包里，笼子还搁那被禁锢着。

说话人03(01:13:55): 你们这样挣脱！

说话人01(01:13:59): 尝试偷看吧，让我们来。

说话人03(01:14:00): 新的一轮！

说话人04(01:14:01): 这话说我就不能直接拿锤子啥的把这些蜘蛛网弄下来吗？我必须给你接过去吗？

说话人01(01:14:07): 我钩子都不行，你觉得你锤子可能吗？

说话人02(01:14:09): 他的你的双锤，他的钩子是太轻而已！

说话人01(01:14:15): 我以为工作我以为你的工作比他重。

说话人02(01:14:16): 傻狗还有小丑？

说话人04(01:14:20): 那我直接先脱吧，不管他。

说话人01(01:14:25): 我在这哈尔滨18也是没有我们两个。

说话人04(01:14:29): 完美大成功！完美大成功太好了！

说话人02(01:14:34): 你们在这已经挣扎许久，你跟两个给我上一个疲倦状态。

说话人04(01:14:45): 皮线是什么东西？

说话人02(01:14:47): 已经那肯定是带劣势的！

说话人04(01:14:49): 我啥东西都来练习。

说话人02(01:14:53): 反正待会打你肯定你是劣势！

说话人03(01:14:58): 你们两个在搞什么东西咱们？

说话人02(01:15:01): 小玉你快来帮他们解开，你看这两个傻狗。

说话人01(01:15:04): 快来帮我们。

说话人03(01:15:05): 我帮他们？不是我，那我过去吧，我要过一次敏捷，又要再过次力量了。

说话人02(01:15:12): 你过去可对！

说话人01(01:15:15): 相信你等会儿我们出去一样要过，你从这里出去的时候顺便把我们解开不就行了吗？

说话人02(01:15:22): 你以为待会儿就你就不用过吗？

说话人03(01:15:22): 那我也得不会被缠上好，我被缠上了。

说话人01(01:15:26): 你也别穿上了。

说话人02(01:15:26): 个面积也很低！

说话人03(01:15:28): 我比你这才八！

说话人04(01:15:30): 柑橘看着这几个人搁这表演行为艺术。

说话人01(01:15:33): 想跑也是。

说话人04(01:15:33): 他有没有给胆小？

说话人02(01:15:34): 柑橘呆愣在原地，不敢随便乱动了，看你们被球弹算球。

说话人01(01:15:38): 来吧，我们继续挣脱吧，让我们。

说话人04(01:15:41): 来嘛！

说话人02(01:15:41): 没事，你们已经把这里的大半场地的蜘蛛全给挣脱完了，快去，你有劣势！

说话人01(01:15:47): 这二年增多了。

说话人02(01:15:49): 你二个蛋？

说话人03(01:15:53): 对。

说话人01(01:15:53): 相信你，相信你！

说话人04(01:15:55): 19。

说话人01(01:15:57): 太废了！

说话人04(01:15:59): 我们完蛋了。

说话人03(01:16:00): 我真脱开了，我不管了。

说话人02(01:16:02): 你们此时听到？

说话人01(01:16:04): 我也都脱开了，我不管了。

说话人02(01:16:05): 没有劣势**的先等我投。

说话人04(01:16:08): 你我们也是。

说话人02(01:16:09): 我投了。

说话人01(01:16:10): 对！

说话人02(01:16:10): 你再投。

说话人01(01:16:10): 我也有电视，我也有电视。

说话人02(01:16:15): 你们头顶传来了嘶声。

说话人03(01:16:20): 抬头看看，抬头看看我靠！

说话人02(01:16:23): 这里还有很高的蜂巢的格子。不过由于此时你们都被缠住，没办法照亮上面，说白了，你们的火把不够照上面。所以看不清上面到底有什么？没认真脱开？

说话人01(01:16:45): 我还有一个等会吵一点不累。

说话人03(01:16:50): 反正我挣脱开了。

说话人02(01:16:52): 行，你真的快了。那你过来轻松帮这两位把身上最后的那些给清理完成，你们已经快把这个槽子里面能缠住你们的蛛丝全给搅完了。他们全落在你们的脚边。

说话人04(01:17:13): 这不显得我们神通广大！

说话人01(01:17:16): 你想嘛对。

说话人02(01:17:19): 莽字我看并非只有一个。

说话人04(01:17:19): 不留后患我们不留后患。

说话人03(01:17:27): 至少待会我们在这边打架的时候。

说话人02(01:17:27): 莽子我看并非只有一个气笑了。

说话人04(01:17:30): 那来都来了都清理一下，直接放把火。

说话人01(01:17:36): 那你清理吧！

说话人02(01:17:36): 室内放火吗？

说话人01(01:17:37): 我在这你呸我吧！

说话人02(01:17:38): 他妈还是像素内部！

说话人04(01:17:39): 对的。

说话人03(01:17:40): 对我们跑得出去吗？我们把家具带走吧，带出去吧，这他在这的话。

说话人01(01:17:46): 那这里确实不太好。

说话人03(01:17:46): 我们还分心保护他。

说话人01(01:17:48): 我们还是先走，这里的蜘蛛网差不多被我们清理掉了，我们从没有被我们清理的路赶紧出去吧。

说话人02(01:17:54): 只有一条路！

说话人01(01:17:56): 走走走。

说话人02(01:17:57): 因为有很多路嘛！

说话人01(01:17:58): 走走走。

说话人04(01:17:59): 我们还能做敏捷吗？

说话人02(01:18:00): 不用了，因为他妈全给你交完了。

说话人03(01:18:05): 坏什么？

说话人01(01:18:05): 跟敏捷过了？

说话人02(01:18:07): 全给你搅完了。

说话人01(01:18:08): 你再过就是37210。

说话人02(01:18:09): 说啥？

说话人04(01:18:09): 你不觉得过敏节很神圣吗？

说话人01(01:18:10): 这包你还怪？

说话人02(01:18:11): 好回到这边。直接出去！

说话人03(01:18:16): 我觉得先我觉得至少先把甘雨给我扔出去，咱们三个可以留在这儿。

说话人01(01:18:22): 对先把甘宁叫出去吧！单局，我们也出去休息一下吧，我感觉有点乏了！

说话人02(01:18:32): 罚吗？你们必须执行，你们想在外面执行短休？

说话人01(01:18:36): 对执行个短袖把剃刀给去掉。

说话人03(01:18:39): 我没意见。

说话人02(01:18:41): 那柑橘也陪着你们短休了？

说话人01(01:18:41): 也是。

说话人02(01:18:43): 因为他不他不敢自己回去。

说话人01(01:18:46): 那行！

说话人04(01:18:48): 所以那些精灵到底是在干什么？你现在能过去再看一眼吗？

说话人02(01:18:52): 你想过去！

说话人04(01:18:53): 我问山菊知道知不知道？

说话人02(01:18:56): 一直没有人阻止你过去？

说话人04(01:18:58): 问问甘迪知不知道？

说话人01(01:18:59): 休息一下，你不执行短袖了吗？

说话人02(01:19:01): 我没见过。

说话人01(01:19:02): 不把你的疲劳去掉。

说话人02(01:19:03): 我不知道。

说话人04(01:19:04): 没见过那一会儿我进去看一眼吧！

说话人03(01:19:08): 那你们的短袖回血了吗？

说话人02(01:19:08): 好短袖，那就回 d6+1的 hp。

说话人04(01:19:16): 那直接买！

说话人02(01:19:19): 你们好像还没有人被扣过属性值，所以就不用担心我需要回属性。

说话人03(01:19:25): 不是有个人被扣了吗？

说话人02(01:19:27): 谁被扣属性了，没人被扣属性？

说话人03(01:19:29): 被护甲挡了？

说话人01(01:19:30): 我想你别挡。

说话人03(01:19:30): 对想起来了。

说话人01(01:19:32): 特别挡游都游不成。

说话人02(01:19:36): 柑橘在外面等你们，大人们加油！勇敢的叔叔你们倒是他妈给我投 d6+1，不用吗？

说话人03(01:19:47): 不用我本来就买。

说话人01(01:19:47): 我们还用吗？

说话人03(01:19:49): 我买状态！

说话人01(01:19:49): 风间要回点血就完了。

说话人04(01:19:52): 我风间回了一点了，又没在里面录卡。

说话人01(01:19:57): 不能这我想办法吧！

说话人02(01:20:00): 原来你们受伤这么少吗？我待会就可以狠狠走你们了。睫毛你可回了太遗憾！

说话人01(01:20:11): 回来！

说话人02(01:20:12): 太遗憾了行来，然后再返回10。

说话人01(01:20:25): 秋月可爱？

说话人02(01:20:30): 你们在这个位置时就已经听到，好像左侧房间吟唱声越来越大了。光芒也变得更亮了，现在原本那片紫色光芒就覆盖这么点区域，而现在它能覆盖这么多的区域。

说话人01(01:21:00): 怎么办？我们要阻止他们！

说话人03(01:21:03): 这是蜜糖镇的蜂巢！

说话人02(01:21:09): 这蜂群都快没？

说话人04(01:21:09): 要不咱们直接远离？

说话人02(01:21:11): 这蜂群都见不到了。

说话人04(01:21:11): 咱们？

说话人02(01:21:12): 还保这里吗？

说话人04(01:21:14): 咱们不是有我，我不是木筏船员吗？咱们先离开这片大陆再说吧。

说话人03(01:21:23): 这还有不怕求生吗？等一下，我们既然任务完成了，我们还在这拼什么来着，我们还要拼啥？我们拿了2万蜂蜜。

说话人02(01:21:30): 你们是冒险者？

说话人03(01:21:31): 营业。

说话人04(01:21:33): 我们是冒险者，我们都不知道他们在干什么，懒得看问问也不知道。

说话人03(01:21:37): 我们接的任务就是带走柑橘以及心情。

说话人04(01:21:38): 谁都不知道，我们只有任务！

说话人03(01:21:43): 我还好。

说话人01(01:21:43): 不行，我没有。

说话人04(01:21:44): 他是他们，他也许他们是在这儿施什么法术能让人人平等的，你看这样一想，这不很合理吗？

说话人03(01:21:52): 哪有人人平等，我们是属鼠！

说话人02(01:21:55): 没事，我们的笼子管你这么多，它勇敢！

说话人04(01:22:00): 聋子你要过去吗？

说话人01(01:22:00): 个计划，我说个计划。那个蜘蛛里面不是还有个豹子，不是还有一个老大红寡妇嘛，我们把红寡妇引到星云那里，那两个人自相残杀，那两方互相缠斗。

说话人04(01:22:12): 要不咱们直接放把火把这里烧了？

说话人01(01:22:15): 不是你这就不好了，你比我还鲁莽！

说话人02(01:22:21): 确实可以放把火烧了，你们没有这么多火源。

说话人04(01:22:25): 我没有火把。

说话人02(01:22:25): 你看比如说它的油。

说话人03(01:22:27): 我们。

说话人04(01:22:27): 这些。

说话人03(01:22:28): 不是我们只有火源，没有引燃物！

说话人01(01:22:33): 在干草。

说话人04(01:22:33): 蜂巢。

说话人01(01:22:33): 我用镜子，我用镜子导火给他诊断。

说话人04(01:22:39): 这样，咱们就是我要说。我主要是没有影子，不知道要不要去估值。

说话人01(01:22:58): 这种事情肯定要阻止！

说话人04(01:23:00): 说是哪需要阻止，我觉得不阻止很好！

说话人01(01:23:04): 这里距离我们也距离我们居住点也挺近的，如果真要爆发了一些奇怪的事情，那我们也会有危险吧。

说话人02(01:23:12): 你们是报展鼠？

说话人04(01:23:12): 没事那。

说话人02(01:23:13): 社区流浪的？

说话人01(01:23:15): 那没事了，我们走吧！

说话人02(01:23:18): 我要你不是勇敢的吗？

说话人04(01:23:18): 对咱们直接。

说话人02(01:23:19): 你勇敢在哪了？

说话人04(01:23:21): 我们勇敢的，不管这件事，我们勇敢的是谁都不通知。

说话人01(01:23:24): 我又这些字。

说话人04(01:23:25): 然后就直接跑了？

说话人01(01:23:26): 我永远的委婉的，我永远的违背了自己的内心！

说话人02(01:23:28): 不巧万一你们还没有去到风后的那里去探，你们还没见到风后？

说话人01(01:23:35): 原来还有封号？

说话人02(01:23:37): 丰厚说不定那边也有很多宝藏！

说话人03(01:23:40): 我们拿得动吗？那我们拿得了吗？我们身上。

说话人01(01:23:43): 对我们！

说话人02(01:23:44): 你们可以丢掉自己身上那些没鬼用的东西！

说话人04(01:23:48): 你难道要我丢掉我的什么木木钉吗？

说话人03(01:23:54): 为什么我的锅盖也要被丢掉吗？

说话人01(01:23:54): 难道你要让我丢掉我的镜子吗？

说话人03(01:23:57): 不允许我要狠狠砸你们脑袋！

说话人01(01:23:59): 我不影响就在我的。

说话人02(01:24:00): 你们不会拿最有价值的？

说话人01(01:24:00): 等着我作为。

说话人02(01:24:02): 东西走吗？

说话人04(01:24:04): 最有价值的不就是我们自己吗？

说话人01(01:24:07): 对我们自己的命最有价值的东西。

说话人04(01:24:08): 如果我们进去的话。

说话人01(01:24:09): 我们自己的命代表着无限的可能性。我们自己的命最有价值的东西，因为我们自己的命带有了无限的可能性。

说话人04(01:24:17): 这样吧，咱们搁这放把火能烧到哪，然后咱们自己有木筏，咱们直接他妈远离这座大陆。

说话人02(01:24:26): 你这把火现在都烧不起来。

说话人04(01:24:29): 行行！

说话人02(01:24:29): 因为因为下方还有阴暗潮湿的空间。

说话人01(01:24:29): **走吧，走吧！

说话人03(01:24:35): 都去哪？打了回府吗？

说话人01(01:24:36): 肯定进去阻止仙灵，我们还能啥？还能去哪？

说话人03(01:24:40): 等一下反正干局他现在走不了，要不我们出去把我们身上那些东西来保管吧，得了我们。

说话人04(01:24:48): 然后出来就找不到他了。

说话人01(01:24:49): 不行，虽然我们流我们是流浪的，人家如果带着我们东西直接跑了怎么办？

说话人04(01:24:55): 他直接跑了怎么办？

说话人02(01:24:55): 这样子。

说话人01(01:24:56): 人家带着我们东西直接跑了，我们在哪说理去找都找不到。

说话人03(01:25:03): 不是冤有头债有主，实在不行的话，咱们去找那一个老老秘书！

说话人01(01:25:12): 老民农会理我们吗？你觉得老老老民农一说，我不认识甘菊，是谁不认识甘菊，你是他是谁？直接不管了。

说话人02(01:25:22): 给这样你们负担你们失败的时候我就不用随机掉落你们的物品了？

说话人04(01:25:30): 直接就全没了是？直接全没了，要甘菊不是只跟着我们吗？

说话人02(01:25:39): 钢琴现在不敢跟着你们了。

说话人04(01:25:39): 他自己我就说你你自己回去。你自己在外面待着，也许红寡妇就会跑出来直接把你吃了，你现在也没找到红寡妇？你和我们进去，我们还能保护你。你看我们这边有法师有坦克，有个笼子，那你滚给个输出。

说话人02(01:25:58): 那行，我看一下他的日志豁免如何？

说话人04(01:26:05): 然后我去啥有高手？

说话人02(01:26:07): 完全不怕不行，我一定要在外面守着大人们回来我不敢。

说话人04(01:26:13): 你直接回去不就好了吗？

说话人01(01:26:15): 那你直接回？

说话人04(01:26:16): 去吧！

说话人02(01:26:17): 那我走了，拜拜！

说话人03(01:26:20): 拜拜！

说话人01(01:26:20): 拜拜！

说话人04(01:26:22): 你你回去记得找找些人过来，里面有仙灵什么的。

说话人01(01:26:25): 对细的回去做完这些情况！

说话人03(01:26:27): 我会的。

说话人04(01:26:29): 给我们收尸。

说话人03(01:26:31): 我不会的。

说话人01(01:26:33): 那我们怎么办？我们？

说话人03(01:26:37): 打打大不了我们把。

说话人01(01:26:39): 打打吧，打吧走走打大不了。

说话人04(01:26:41): 我就把 qq 挂小红书。

说话人02(01:26:48): 太此时不用我们的红寡妇终于出巢了！

说话人01(01:27:00): 这下好了。冯寡妇出槽子他家？

说话人02(01:27:04): 下好了。

说话人03(01:27:05): 坏了，这下坏了，不是他直接堵门了。

说话人02(01:27:07): 穷寡妇，我从这里爬出来时，看不见我看！

说话人01(01:27:14): 看不见我。

说话人02(01:27:15): 它是在天花板上倒着过来的，看见了。

说话人04(01:27:20): 左边有一大堆紫光。

说话人02(01:27:20): 站在这门口的你们？

说话人01(01:27:24): 为什么不看他那么些主观要看到我们？我们这边不过**和他的许多还有云特征。

说话人04(01:27:28): 聋子**给我自杀？

说话人01(01:27:31): 回去找那边找我！

说话人02(01:27:33): 你不跟他说话跟干什么？

说话人04(01:27:36): 寡妇我把这个笼子献祭给你，你你去找他们麻烦吧！

说话人01(01:27:39): 滚，我们把空间献祭给你，你去找那群人麻烦别找我们。

说话人04(01:27:43): 对封间也现在给你封间是谁，我不认识我是猫猫谢喵。

说话人01(01:27:46): 来，再把煎猫先寄给你，猫比老鼠肉多了是不是？是不是鱼有鱼有鱼？

说话人02(01:27:57): 我管你这么多 ok，不过由于那你们投一下先攻了。

说话人01(01:28:10): 直接动手吧！

说话人02(01:28:10): 真的都成功了，好我成功了，来你们投扣你们的先工点！

说话人03(01:28:16): 不是2d 20吗？

说话人04(01:28:20): Dex！

说话人02(01:28:23): 没有优势哈，没有优势，当然有一个有劣势。

说话人04(01:28:28): 还算列？

说话人01(01:28:29): 我们两个都有劣势，因为我们两个都有匹配属性。

说话人02(01:28:32): Surpriseoh 对！

说话人04(01:28:32): 没有刚才不是那啥了。

说话人02(01:28:33): 我去不早说还真是。

说话人01(01:28:35): 短袖没有清除吗？

说话人04(01:28:35): 匹配不是清了吗？

说话人01(01:28:37): 短袖没有清除吗？

说话人02(01:28:38): 里面是长袖亲属！

说话人04(01:28:39): 对！

说话人02(01:28:40): 没人跟你说是短袖亲属！

说话人04(01:28:41): **。

说话人01(01:28:42): 那中间是不是就3d3d 20？

说话人04(01:28:43): 那我不小心。

说话人02(01:28:46): 不用劣势只有劣势不叠加的。

说话人04(01:28:51): 我们完蛋了。

说话人01(01:28:52): 小鱼完蛋了！

说话人02(01:28:52): 到**10-19你也没好到哪去？17妈的全是全都比我慢。

说话人04(01:28:59): 我一个月从你。

说话人01(01:29:01): 还让我干什么？

说话人02(01:29:01): 我先手了！

说话人03(01:29:04): 椰子头就过了？

说话人02(01:29:05): 你们自己你们这三条区等着被我吊打吧！

说话人01(01:29:17): 先打先不去。

说话人02(01:29:19): 三条区 a 一下先 a 法师。

说话人03(01:29:24): 好我怎么认不对是你。

说话人02(01:29:26): 不用扔我扔的，你扣血就好了。

说话人04(01:29:28): 犹豫你直接黑暗视觉给他。

说话人02(01:29:29): 好8点血。

说话人03(01:29:33): 因为我是。

说话人02(01:29:33): 被扣完了那就倒扣力量不对，还是扣 ds 扣敏捷？

说话人03(01:29:41): 是敏捷扣5ok？

说话人02(01:29:44): 敏捷扣五，再过一个敏捷的豁免。

说话人03(01:29:51): 后面是三还是八？

说话人02(01:29:54): 数算好的赢了Ds扣完是移动力是无法移动血他得扣血才会导致你死亡！

说话人03(01:30:15): 我豁免。

说话人02(01:30:15): 不过你这边的话肯定得叠一个疲惫！

说话人01(01:30:20): 又疲惫了！

说话人02(01:30:22): 我没给你叠力竭已经不错了。还好你没有湿，对你的见识全捡回来了，哼哼哼好，他行动完了到你们动了谁动小玉，你还是有机会可以有反制的。

说话人04(01:30:38): 我要打他吗？怎么能打过他吗？要不我抱着小玉就。

说话人02(01:30:41): 那你打不过就跑！

说话人04(01:30:43): 我抱着小玉就往紫光那边冲去，让他们俩打你说的那样。

说话人01(01:30:47): 不是你确定我们两个战友？

说话人02(01:30:48): 但是他妈荧光。

说话人01(01:30:50): 你确定我们两个在有敏捷电势的情况下能跑过吗？

说话人03(01:30:54): 你还要带人的？

说话人02(01:30:54): 我不知道。

说话人04(01:30:55): 那你觉得我能我打他能打过，反正敏捷已经有一个劣势了，再有一个也没事，不是只能叠加一个吗？

说话人01(01:31:02): 说不定你投个八，我投个10小鱼投个16，当场满上给他冠。

说话人04(01:31:11): 搁这做梦？我不如赌一下我二第二期能出两个一？

说话人01(01:31:20): 绝望有点绝望的。

说话人04(01:31:25): 我抱着小鱼就往。

说话人03(01:31:25): 你看这玩意是我的多少倍大？

说话人04(01:31:28): 荧光那边充血不对，小玉仙黑暗视觉给他打一下。

说话人01(01:31:33): 守约黑暗视觉给他迷惑掉。

说话人04(01:31:36): 然后我们再冲过去。

说话人01(01:31:38): 对！

说话人04(01:31:38): 会好一点吗？

说话人01(01:31:38): 然后我们就退回去。

说话人02(01:31:39): 就可以给你们个优势，那小玉你要投入几点力量？

说话人04(01:31:45): **。

说话人03(01:31:45): 我在看。

说话人01(01:31:46): 那不是。

说话人02(01:31:47): 你得你的头面里至少投出了四家才能成功！

说话人01(01:31:47): 什么荧光？不是不荧光！

说话人04(01:31:53): 那我直接抱吧！

说话人01(01:31:54): 这灯都？

说话人04(01:31:56): 那我直接抱着他往里面跑吧！

说话人01(01:31:56): 这还管什么荧光等等他迷惑了我们直接往出口跑不就行了吗？

说话人03(01:32:00): 但是我得投入四。

说话人04(01:32:03): 我那我直接投吧，没办法，你你投了也要。

说话人03(01:32:07): 不是四加是我数值投资数值？

说话人01(01:32:10): 我们直接往出口那里跑吧，这还管赢了。

说话人02(01:32:12): 四家肯定是你投的那几个第6里面的四家？

说话人03(01:32:17): 但是我这边还有法术失控。

说话人04(01:32:17): 主要是小鱼现在不能行动！

说话人03(01:32:19): 不是那我投的越多我不是为什么又要四加，然后我又看法师是个什么东西。当施法扔出一个或多个六的时候，施法失败，又要四加，只有四和五了可恶。

说话人04(01:32:41): 我不如赌一下，我这个2d 20能出？

说话人01(01:32:45): 那直接往出口跑吧，直接管荧光干什么荧光他会管我们吗？都是我们刀剑相向的，我们再过去没把红马吸引过去，那估计我们先被砍死了。

说话人04(01:32:55): 那咱们进来挨一刀，然后让小鱼别让疲劳，然后咱们再走，主要是小鱼现在不能行动。

说话人01(01:33:00): 不是过去？

说话人04(01:33:02): 咱们就现在走，要跑还是要干？

说话人03(01:33:07): 要干？

说话人01(01:33:07): 不能嫌弃我们。

说话人04(01:33:08): 来都来了，反正新卡能这是一场大战。

说话人03(01:33:12): 说的对啥？

说话人04(01:33:16): 来2d 20抱着小玉就往里面冲。这不是什么都没过吗？

说话人03(01:33:24): 你甚至都没有抱起我！

说话人01(01:33:26): 那我不管你了，我抱起小鱼就往里面冲我抱起小鱼往你往里面冲！

说话人04(01:33:30): 去吧！

说话人01(01:33:33): 这不也是真。

说话人03(01:33:33): 你们在包什么？

说话人04(01:33:36): 小雨**该减肥了。

说话人01(01:33:41): 行，因为我玉米太逗了，给我抱不起来！

说话人02(01:33:45): 侯寡妇只看到了两条蛆在这边挪动。

说话人03(01:33:46): 我很重吗？

说话人02(01:33:52): 还想跑，那就先从你打起。

说话人04(01:33:57): 小小玉还没行动，小玉快把我自己往那边跑。

说话人02(01:34:01): 所以你想到！

说话人03(01:34:03): 不是。

说话人04(01:34:04): 小心快报个黑颜色。

说话人03(01:34:06): 我放个放放个！那我是？

说话人02(01:34:09): 那你放！

说话人01(01:34:12): 不要抱着自己往里跑！

说话人02(01:34:14): 那你投入几点力量？

说话人03(01:34:16): 2点？

说话人02(01:34:16): 然后记得扣一下。

说话人03(01:34:17): 然后 Ok 扣了，然后是？

说话人04(01:34:20): 好搞笑！别出那两个一，我们就真的七了。

说话人01(01:34:30): 不是？

说话人04(01:34:32): 失败！

说话人01(01:34:33): 要发好像？

说话人02(01:34:33): 没确实没出一出的是六而已。

说话人01(01:34:36): 很失败的。

说话人03(01:34:37): 失败了。

说话人02(01:34:37): 法术失控了而已。

说话人03(01:34:39): 这法术失控是什么效果？黑暗？

说话人02(01:34:41): 获得枯竭！

说话人01(01:34:45): 我们都获得出节目。

说话人04(01:34:48): 今天一条区今天区不能行动。

说话人01(01:34:50): 今天三区。

说话人03(01:34:54): 不是空姐是干嘛的，这里在哪里写的？

说话人02(01:34:56): 不用管没有效果，严格意义上来说，小月是受伤加疲惫，所以你现在有？

说话人01(01:35:06): 安全状态。

说话人02(01:35:07): 三个状态。

说话人01(01:35:09): 再来救助伤！

说话人03(01:35:10): 我不该跑了。

说话人02(01:35:11): 再来一个重击。重击那就彻底要倒不对。

说话人01(01:35:16): 我得先能把你抱起来。

说话人02(01:35:19): 暂时不能给你叠受伤。因为你还没有可以受伤的话直接倒下了，暂时不用管，那你也行，那就到我了。

说话人03(01:35:30): 动手！

说话人02(01:35:30): 他去打这只蛆肥大的蛆。

说话人04(01:35:34): 我把大家顾及身后。

说话人01(01:35:37): 不是我把你复制成，你把我和小鱼当你身后，你身维度你别靠在前面！

说话人02(01:35:45): 无限维度的什么？

说话人04(01:35:45): 没事，我可是有5点。

说话人01(01:35:47): 第二点嘛，他扛住了。

说话人02(01:35:49): 那扛住了？

说话人04(01:35:51): **。

说话人01(01:35:52): 接猫过来！

说话人02(01:35:53): 但这次他们很寡妇，所以你的护甲扣2点。

说话人01(01:36:00): 好！

说话人02(01:36:01): 毒性肯定比那群小逼蜘蛛毒性要强！

说话人04(01:36:06): 我中奖！

说话人01(01:36:07): 小莫快带着小鱼走来，然后我来。

说话人02(01:36:14): 你来，你要反反走回去？

说话人01(01:36:18): 真跑了。

