说话人01(00:00:00): 第四把。
说话人03(01:29:26): 距离射得到不用走。

说话人02(01:29:27): 那直接说晚上？

说话人03(01:29:34): 我 cc！

说话人02(01:29:37): 过敏去吧你。

说话人03(01:29:37): 26。有机会吗孩子们？我能不能出三个一出不了，晕倒在地。这边是来跑！

说话人02(01:30:06): 跑吧，那根纪要了，赶紧跑吧！

说话人01(01:30:10): 冲刺！

说话人03(01:30:12): 从此可是现在不是你们的回合。

说话人01(01:30:17): 充不了，充不了。

说话人03(01:30:27): 又来两个守夜人？

说话人02(01:30:29): 两个吗？

说话人03(01:30:33): 何人在此作祟？

说话人01(01:30:36): 我是狗。

说话人03(01:30:39): 喝水。

说话人01(01:30:42): 冲冲锋冲冲刺！

说话人03(01:30:46): 在冲什么，他们冲出来，他捡起旁边同伴的那一个手上的5次剑，朝着这一个选定目标中。你们没有休整，甚至都不考虑休整一下吗？

说话人02(01:31:09): 77777是有的，我说我给他扶起来的时候给他汇点水。

说话人01(01:31:15): 他扶起来的时候说要短袖来着。

说话人02(01:31:15): 让他短袖一下。

说话人01(01:31:18): 但是。

说话人03(01:31:19): 那休整一下，他妈的回到时给我回一下阿迪6+1的血！

说话人01(01:31:25): 竟然要自己供的。

说话人02(01:31:27): 对！

说话人03(01:31:31): 你不会飞过来？

说话人01(01:31:31): 2d6+1？

说话人02(01:31:37): 19+1你能有多少血？

说话人03(01:31:37): 满满血了，满血了，但是。

说话人01(01:31:40): 我可是有区区的。

说话人03(01:31:43): 4点。

说话人02(01:31:45): 蛮好了，4点，我才2点。我录我短信，我都不用过头子，我直接回满了。

说话人01(01:31:55): 我的天既然。

说话人03(01:31:56): 不会有人在跟我申请这个编辑权限，没有逼养的在飞书里面豆包给我弹消息了？

说话人01(01:32:07): 为什么？

说话人03(01:32:08): 一边死去吧你。

说话人01(01:32:11): 豆包这么坏，还让你死？

说话人03(01:32:16): 还在挑衅我 ok，我琢磨他们拿起这个剑扔向狗狗。不过由于是削弱过的，我只能揉一下阿迪斯扣2点血，而这另外一边的这。他又他捡起了手边比较大块的石头，毕竟还没挖出来很多土了，肯定会败点石头扔上了5点伤害。

说话人03(01:33:07): 活着吗？

说话人02(01:33:07): 豁免了准备。

说话人03(01:33:19): 两脆皮来的那不是晕了吗？

说话人02(01:33:23): 晕了是！

说话人03(01:33:27): 然后让我看看你的忠诚甲虫，我要给它过士气了。士气要过一一直火，然后点3d6。

说话人02(01:33:42): 他过不过无所谓，我在背上他还可以驮着我跑。

说话人03(01:33:46): 万一想把你挣脱跑的更快，你的甲虫好像没有这么高的意志？

说话人02(01:33:54): 但问题是不是他终身甲醇，不是那种雇佣来的？

说话人03(01:33:58): 多层甲虫就是在士气豁免的时候会额外投掷一次，他两次一次12一次13你说我让他怎么过？

说话人01(01:34:09): 他充钱在哪？

说话人02(01:34:11): 那他 b 站了，B 站直接偷偷跑了，他管什么？

说话人03(01:34:18): 我好像奇怪。至于底层在锁定。诶，我一位！逼养的？

说话人02(01:34:43): 诶我真死在这里了。

说话人03(01:34:50): 不是出 bug 了，我选中不了你了。

说话人02(01:34:53): 你把这个地图拖走，看能不能选中我。

说话人03(01:34:59): 你被上锁定标志了？

说话人02(01:35:04): 我被锁了，刚才是要的。

说话人03(01:35:10): 朋友跑路了？

说话人01(01:35:12): 但是。

说话人02(01:35:14): 他给我走下来了吗？

说话人03(01:35:19): 对一下子把你走下来了，甲虫受惊，你给录的主人，我会带着你的背包远行的。

说话人02(01:35:29): 不行一起什么微信给我抖下来。

说话人04(01:35:32): 原来细节放到他身上了。

说话人02(01:35:34): 都放他。你是混蛋？

说话人03(01:35:44): 相信狗狗伟力能一打二的？

说话人01(01:35:47): 相信我吗？我让麻雀把小鱼带走。

说话人03(01:35:49): 没事，这边这只苦力鼠也可以临时帮你们打一打的那两只瘦老鼠确实打不了。

说话人04(01:35:54): 起来了，来了起来了。

说话人02(01:35:56): 等一下我先起下收老鼠追上甲虫，让他们把甲虫给我控制住。

说话人03(01:36:03): 说老师跟上去吧，他由于他们骨瘦淋漓，不太追得上可能。

说话人02(01:36:10): 行没关系。

说话人03(01:36:12): 可能出去就要跟门外的守夜人岗哨对峙了。

说话人02(01:36:17): 假如他出不去门口还有一只鼠，还有一只坏鼠。

说话人03(01:36:24): 相信他相信，相信。

说话人01(01:36:28): 相信各位我是不是该死了**？

说话人03(01:36:33): 你吗？你这不，你这不是还没倒地吗？问题不大。

说话人01(01:36:38): 离倒闭也不远了。

说话人02(01:36:40): 为什么我才两个鞋，这根本升不了级？

说话人03(01:36:47): 你你可以现在去准备车新卡了。

说话人02(01:36:50): 我已经想好新凯叫什么了？

说话人03(01:36:53): 你就自己创我的 cc，我给你发一下，我给你。

说话人01(01:37:01): 小玉都死了，也不是晕了，那我为什么不直接带着麻雀？

说话人02(01:37:05): 我是晕了，我是晕了。

说话人01(01:37:07): 那我直接骑着让麻雀带你走。可以吗？然后我在后面跟着就好。反正一起跑，两个也打不过说。你你留着干什么，一起走？

说话人02(01:37:29): 让你跑，你跟那几个收老头一起跑！

说话人04(01:37:30): 我还没上车！

说话人01(01:37:34): 一起走，你怎么不上车，我就想问了。

说话人04(01:37:38): 你的麻雀不够位置？

说话人02(01:37:40): 那他腿就跑，他腿跑。

说话人01(01:37:42): 我下来和苦地鼠腿着跑跑吗？

说话人03(01:37:47): 原来是小姨在上面躺着。

说话人02(01:37:53): 对！

说话人03(01:37:59): 太 crazy 了！这边的话123456789101112这两只？这两只这里，然后这一只和这一只还有差不多。

说话人01(01:38:23): 这么多人往外冲，我就不信都不信他敢来**他敢来吗？

说话人04(01:38:32): 不敢来了，不敢来了。

说话人02(01:38:37): 不行，给我来一下，给我把鱼竿还给我。

说话人03(01:38:43): 鱼竿吗，鱼竿你是不是没放到背包没放到他的背包上？鱼竿不是在你背包上吗？鱼竿也在他背包上。

说话人02(01:38:55): 我想回去再分配的？

说话人03(01:38:57): 还有蛋白质也在他身上。

说话人04(01:39:00): 但他们？

说话人01(01:39:01): 我现在皮肤。

说话人02(01:39:06): 太完蛋了，这个家伙果然在我们1级今年不过因为身上东西太贵重了。

说话人01(01:39:13): 没事，甲虫出去的时候得抓蓝。

说话人03(01:39:14): 由于他们没有坐骑跑不过你们。跑到这个门口是最后一次预兆，那对你们没什么鬼用。

说话人01(01:39:32): 路都路过了，打打小老鼠一下。

说话人02(01:39:36): 等一下甲虫不跟我走了吗？

说话人03(01:39:39): 甲虫吗？甲虫吗？甲虫正在急速往下爬去，我看看你有叫叔叔帮你们拦住吗？

说话人02(01:39:52): 我都给他们救出来了，他们这点表示都没有吗？

说话人03(01:39:54): 他们帮你把甲虫挽留住了。

说话人02(01:39:58): 现在可以给我扶起来了？

说话人03(01:40:01): 浮起来了？扶起来了，扶起来了。

说话人02(01:40:06): 太我的鱼竿有着落了。

说话人01(01:40:11): 谢谢这次先吃饭吧，你们饿了吗？我请大家吃饭，我正好有实体服。

说话人03(01:40:18): 你们要在16的位置吃饭吗？

说话人02(01:40:21): 我觉得我们最起码去10、70，所以给我假装拖回来。

说话人03(01:40:25): 甲虫对甲虫差点忘了，我就说。

说话人02(01:40:28): 我可以回到驾驶背上了。

说话人01(01:40:29): 我请这里所有老鼠吃饭，一看他们就饿了好几天了，埋地上还不如自己真吃！

说话人03(01:40:38): 你要带着他们一块吃吗？我还以为你们是只带这一只苦力鼠回去？

说话人01(01:40:46): 一起走！

说话人02(01:40:47): 他们想走就跟着走！

说话人03(01:40:49): 版本吗？

说话人01(01:40:51): 你怎么把人家也带走？

说话人02(01:40:53): 不是那守卫不带走？你在想什么守卫不带走？

说话人04(01:41:06): 岗哨要在这里呆着，差点饿死。

说话人01(01:41:09): 我们就带了两只瘦老鼠。

说话人02(01:41:12): 还有一只老鼠是刚被抓过来的。

说话人03(01:41:14): 还有一刚拖进来的。我刚进来那只就自己不知道跑哪去了，两只瘦老鼠可以跟着你们一块。然后你们花一手望去隔壁的牛骨阁在这里已经是晚上了。

说话人02(01:41:35): 再长修一下吧！

说话人01(01:41:36): 吃牛骨汤！

说话人02(01:41:40): 我看看长袖。

说话人03(01:41:46): 长修是两手望已经走了两手望 ok没事长修回满全部 hp。你们调 hp 了吗现在？

说话人02(01:42:06): 掉了我都。

说话人01(01:42:07): 掉了，你猜他为什么死了？

说话人02(01:42:12): 我是晕了。

说话人03(01:42:12): 这不是没死吗？这里姑姑说啥？

说话人01(01:42:15): 你猜他为什么病死了？

说话人02(01:42:15): 但问题是，但问题这个长袖好像那个有点亏耶！要亏还是短袖，我们血都不满。

说话人03(01:42:25): 你不是要回去力量吗？

说话人02(01:42:30): 因为我们血都不满，所以回不了力量！

说话人03(01:42:34): 要他是投一下之后还血量满的情况下再去给属性回第六。

说话人01(01:42:48): 所以让我干什么忘了？

说话人04(01:42:58): 没有！

说话人03(01:42:59): 不会有人没的，不用算。好像小玉就2点，你肯定能买，然后再投个 d6给自己的那个力量，回一下狗狗这边也是一样的，投个 d6给自己的力量恢复一下，只给自己恢复一点力量吗？

说话人01(01:43:15): 是初10？

说话人03(01:43:17): 倒是回满了。

说话人01(01:43:18): Surpriseoh 太好了，我今天终于投一个满值了，你们不知道今天我怎么过的，我感觉我今我睡梦中都是一都是最低值。

说话人02(01:43:29): 我靠你第12第10那一个10还不好吗？

说话人03(01:43:34): 你们的口粮消耗完了？

说话人01(01:43:39): 没事，我有钱，我还有10块钱。

说话人03(01:43:43): 你有钱有什么用，这个点不是定居点，没人卖东西给你们，当然你们可以尝试 call 一下路边快速路过的那个飞哥。

说话人04(01:43:49): 那我路上找！

说话人03(01:43:55): 尝试过一下。

说话人04(01:43:56): 不是能是？

说话人03(01:43:57): 我看一下给你们在点。其实这个点离贸易点离定居点很近的话，有4/6的概率，我投一下 ok可以扩到哥，但是只扩到了什么？听歌的话只能带一只回去，或者说想让它给你拖口粮回来。你听歌的话也要揉一揉，你们揉一下。

说话人01(01:44:34): 我们不是自己能寻找口粮吗？什么的？

说话人03(01:44:37): 要消耗一手王？

说话人02(01:44:38): 我们已经消耗一手腕长修了，这消耗一手腕的话，你你确定他们守夜人不会追上来吗？

说话人01(01:44:44): 不至于吧！

说话人03(01:44:49): 你可以试试，万一他不走17走的是隔壁的。

说话人02(01:44:57): 走吧，走吧！

说话人03(01:44:59): 走什么哥哥？

说话人04(01:45:01): 买买房买吧！

说话人03(01:45:02): 买吧买让他快速给你们拖回来，但是这一个干粮的钱也得你们出！

说话人04(01:45:06): 反正不是我付钱。

说话人03(01:45:11): 好干粮标价是10匹普一一日份。

说话人02(01:45:19): 手机不是五皮肤1日份吗？看一下。

说话人03(01:45:26): 玩家手册里面的口粮我现在是严格意义上也要揉出来的，因为是初日里面的揉个第10吧。小鱼肉吧？7皮肤那要揉全部数的话，那就包含你们的这宠物的话。1234567。77494949额外加这一个，这他的服务费我还没有揉等等我揉一下他的服务费。

说话人03(01:46:21): 它的服务费？18+4967？好的扣去，他消耗这个。两轮给你们送回来，触发一个无事发生。快速给你们送回来了。然后安全回到这里好，今日份终于安全回归，这次也是险之又险！

说话人01(01:47:23): 他差一点就剩10匹普回来了。

说话人02(01:47:28): Ok然后交任务。

说话人04(01:47:28): 他想回来他也是。

说话人03(01:47:34): 小人物！

说话人01(01:47:34): 我还多给你带了俩兄弟，这是不是有脱毛甲虫？

说话人03(01:47:42): 太你这两个吗？这两个。

说话人01(01:47:52): 没事不认识吗？认识就认识了。

说话人03(01:47:56): 要不留一半给我，不然我养养不起四只鼠，你们在里面搜到其他东西了？

说话人01(01:48:09): 留一半给你。

说话人02(01:48:10): 不是他们有手有脚的，他们自己生活去，有说要养他们！

说话人03(01:48:15): 这两个还需要在补充一些营养才可以工作！

说话人01(01:48:22): 没事，我平我把100皮肤给他正好我卖100皮肤。

说话人03(01:48:29): 好你你卖什么？

说话人01(01:48:32): 然后把这？

说话人03(01:48:33): 你哪来的卖，你把幽灵灯笼给卖了，那你不给110？

说话人01(01:48:43): 我先平分，我剩55我把55给他。

说话人03(01:48:48): 评分吗？

说话人01(01:48:49): 对一份给小玉。

说话人03(01:48:50): 细健药有卖吗？

说话人02(01:48:56): 我在想信件要留吗？一般要信件会给多少？

说话人03(01:49:02): 魔法武器的话是有单独的，这个售价的先比魔法剑的售价是参考魔法的售价来的魔法的售价是第6×100皮你入第6吧！

说话人02(01:49:25): 我不卖了，我自己用我给我自己弩和剑士卖了吧得了。

说话人03(01:49:33): 年代档粗制垃圾我看一下能卖不对，你这个是算有磨损的，我看一眼你的弩。你是重弩，原价是40皮普略有磨损，给你算给你打半折。20皮普。

说话人02(01:49:57): Ok然后那我这个？

说话人03(01:49:58): 现实是由于缺了的话只能给你按三皮谱回收了。那就是23皮肤再加，那你自己扣一扣！

说话人02(01:50:13): Ok我自己家，然后这个仙灵它是双？

说话人03(01:50:16): 研究卷轴也可以卖300？

说话人02(01:50:21): 等一下我先看一下是双手武器？

说话人03(01:50:25): 哪个？细剑是双爪？D8双爪没什么好算的。你可以把重击效果 copy 上去对的。加三博人类研究卷轴。

说话人02(01:50:59): 然后蛋白质也加？

说话人03(01:51:02): 加好的。

说话人04(01:51:07): 好坏！

说话人02(01:51:10): 再评分，我想一下。

说话人03(01:51:13): 他那边是100的幽灵灯笼，再加上100。严格意义上是110，因为还有10匹5是从里面拿的。

说话人02(01:51:26): 对一个算上我这边是总共收到750。

说话人03(01:51:31): 750那就这边再算上110。110再除2！

说话人02(01:51:49): 他就那边直接改成430，然后我这边的话。这边我想一下。

说话人01(01:51:59): 反正我这边除了换除了给脱毛的都要埋地上的埋地下的。

说话人03(01:52:08): 430。

说话人01(01:52:08): 你想要自己拿走？

说话人03(01:52:17): 狗狗这边是720这边？

说话人03(01:52:40): 600二都是两边都是6002百2的经验。等等我看看经验是这么算的，有点忘了。完整版里面的。美皮普不对，其实就是加800~800~6经验才对，加错了。

说话人02(01:53:11): 那430我是指狗狗可以获得的皮肤可以获取的皮肤。

说话人01(01:53:16): 我就留100，剩下的全是你的。

说话人03(01:53:22): 是算860。

说话人02(01:53:28): 不对。

说话人03(01:53:37): 可我又是莫有钱的一天。

说话人03(01:53:55): 小玉你身上拿这么多东西？

说话人02(01:54:01): 我觉得木杆和鱼钩可以卖掉。

说话人03(01:54:05): 等等小玉你抵扣假了吗？

说话人02(01:54:09): 没有忘记抵了。

说话人03(01:54:10): 牛逼本来不用晕的。

说话人02(01:54:16): 还真是本来真不用晕的，我就。

说话人03(01:54:19): 傻玉来的？

说话人02(01:54:22): 我真忘记了，因为我之前都没有穿假，我这次穿了，等一下。

说话人03(01:54:32): 然后完整休息，花个20谱恢复一下你的力量，这个就不用了，这个回满了体质真好，这个体质好！

说话人03(01:55:00): 很快，你们就有这1000经验了。

说话人02(01:55:07): 我已经有一天经验了吧？

说话人03(01:55:11): 你自己算一下吧！

说话人02(01:55:11): 有的！

说话人03(01:55:14): 是有的。

说话人02(01:55:15): 111150。

说话人03(01:55:15): 你你都800多，你先那你要升级了！

说话人02(01:55:20): 升级。

说话人03(01:55:23): 好升级升到2级晋升。

说话人02(01:55:30): 生命头奥迪六太好了！

说话人03(01:55:34): 好，首先去到。

说话人04(01:55:36): 来看一眼。

说话人03(01:55:38): 生命头那你投一下吧！

说话人04(01:55:38): 说不定12。

说话人03(01:55:40): 投一下2d6吧，看看你最新的生命。

说话人02(01:55:42): 我是多少？

说话人03(01:55:48): 12嘛！

说话人02(01:55:50): 对，然后我看一下。

说话人01(01:55:50): 上帝！

说话人02(01:55:52): 还有对三个属性各投一次。第20如果高于当前属性则属性加一三第20。

说话人03(01:56:03): 好！

说话人02(01:56:14): 一直加一。

说话人03(01:56:17): 益智加一有点少。

说话人01(01:56:20): 那我是不是也能？

说话人02(01:56:22): 对你跟我一样。

说话人03(01:56:22): 其实不应该投 d20应该投3d6的，我这个规则还没改回来。

说话人02(01:56:28): 那我从？

说话人03(01:56:29): 重新投一遍吧！

说话人02(01:56:30): Ok那我就只能分开投了。

说话人03(01:56:34): 对你，你也可以点 r3井号3d6。

说话人02(01:56:39): 差一点。

说话人03(01:56:42): 没有大爷。

说话人04(01:56:43): 三68。

说话人02(01:56:44): 也没有。

说话人03(01:56:45): 这边没有？

说话人02(01:56:45): 是人之常情。

说话人03(01:56:47): 也没有。

说话人02(01:56:50): 是不是？狗狗来狗狗来。

说话人01(01:56:56): 我也能加。

说话人03(01:56:58): 你你跟他是一样的你你应该经验也是1150！

说话人01(01:57:04): 朋友们，我不该今天投的我能不投？

说话人02(01:57:06): 不 hp 加1hp 加一？

说话人03(01:57:11): Hb 加一那就5-5再投一下这一个三个属性，第一个六？没有。

说话人02(01:57:23): 我不会。

说话人03(01:57:25): 每一个七有吗？没有第三个？

说话人01(01:57:34): 我都说我不该今天！

说话人04(01:57:35): 有影响？

说话人01(01:57:35): 竟然是有人跳？

说话人03(01:57:36): 日志加10日志。

说话人01(01:57:42): 能过的完全不过。

说话人03(01:57:45): 该过的不过不该过的全过！太开心，孩子们！

说话人01(01:57:55): 不该今天升级的？今天1点运气都没有，这都是秋月的错。

说话人03(01:58:09): 小玉可以再额外花10匹普换一经验。想要的话，因为你身上800多皮肤，你其实也没有什么要用的，或者说你想做点什么，看一下我们的共享资料册里面其实你想什么，你想补什么？

说话人02(01:58:38): 我在想！

说话人03(01:58:42): 你要补一个重甲？

说话人02(01:58:44): 那我是哪一个有烈士来着敏捷烈士？

说话人03(01:58:54): 对！

说话人02(01:59:00): 等一下我先。

说话人03(01:59:00): 还是附加在你的麻雀上的麻雀，感觉山压力性大。不对你的是甲虫说反了。

说话人02(01:59:12): 我想一下。

说话人03(01:59:17): 你还想补什么需必备的物品吗？

说话人02(01:59:21): 我在看。

说话人03(01:59:23): 你不用看必备物品，你自己想。你想我根据物品等级表给你换算价钱？

说话人02(01:59:41): 我都有鱼竿了。对我的木杆和鱼钩是卖了？

说话人03(01:59:53): 粗制小垃圾能卖几块钱？

说话人02(01:59:55): 1块钱也行。

说话人03(01:59:57): Ok我看一下我跟鱼钩，你揉个2d 死，然后这就是他俩的价钱了。

说话人02(02:00:07): 好高！

说话人03(02:00:14): 16皮肤这也算？时尚不并不时尚，纯小垃圾。

说话人03(02:00:34): 走有什么要做的，你可以通过无私花费皮普为整个社区改进获得额外 xp！

说话人02(02:00:49): 但是下一个升级是3000叉 p，把我卖了都。

说话人03(02:00:58): 主要是你们没有探完房间！

说话人02(02:01:02): 那不是因为再看下去的话。

说话人01(02:01:04): 打不过！

说话人02(02:01:04): 我们全部折那了吗？

说话人01(02:01:05): 打不过。打不过你自己看看着我们就打不过了。

说话人03(02:01:15): 换正甲就好了。

说话人02(02:01:29): 能不能学法术？

说话人03(02:01:32): 把书必须翻出来。

说话人02(02:01:35): 必须翻出来，他不能学。

说话人03(02:01:38): 保护我看一眼。法书基本不可以，也不是不行，理论上的话。

说话人02(02:01:49): 他是随机学的吗？

说话人03(02:01:52): 是法术是直接珍惜开始算的。

说话人02(02:01:58): 我看下珍惜多少？

说话人03(02:02:00): 分析是低10*150皮肤+400。起起卖起卖价是550皮普。

说话人02(02:02:11): 他那他这个的话是我随机法术还是指定法术？

说话人03(02:02:17): 指定法术吗？额外收你100皮普的手续费？

说话人02(02:02:22): 来那个狗狗看。

说话人03(02:02:25): 你先撸第10，因为市场上不指不定是卖什么价？

说话人02(02:02:34): 但是什么价我都买得起，买得起吗？

说话人03(02:02:38): 99乘15？你说？

说话人02(02:02:41): 那买不起了？

说话人03(02:02:44): 叽里咕噜说啥，什么都买得起。

说话人02(02:02:47): 珍惜不好意思，看错了，看差了。

说话人03(02:02:51): 加一博1400皮肤。

说话人02(02:02:55): 那算了，那算了。

说话人03(02:02:57): 你说不定你把刚才他拿的那一份给拿回来也够不对，他那份也才400多吧。

说话人02(02:03:03): 没有3000份已经给我了。

说话人03(02:03:06): 他那份也给你了，也不够！

说话人02(02:03:09): 对他因为已经给我了，我已经加上去了不够那算了，不买了。

说话人03(02:03:14): 非常的遗憾，你可以讲价！

说话人02(02:03:19): 我拿什么的讲价，我拿头跟他讲讲价嘛，不要。

说话人03(02:03:23): 你手上不还有这一个？

说话人02(02:03:28): 我问你，我卖了之后我再重新去买其他的武器吗？拉倒吧！

说话人03(02:03:34): 怎么不可以？

说话人02(02:03:35): 不要。

说话人03(02:03:37): 魔法剑很值钱的，你试试。

说话人02(02:03:39): 不要然后不要我就要玩，我要玩魔法剑。

说话人03(02:03:48): 你们上次卖掉的水晶是可以取出来当魔法剑的你们没想到。低价卖出！

说话人01(02:03:56): 当然知道能取出来当了，不知道懒懒得取已经不知道咋取。

说话人02(02:04:01): 我们当时是这一个很急！

说话人01(02:04:02): 你都那么描述了？

说话人02(02:04:04): 很急太急了。

说话人03(02:04:06): 我怎么没有想过直接把它打碎取出来？是坏了。

说话人01(02:04:14): 如不早言。

说话人03(02:04:16): 1000。我看一下你这个叉，你说你手上有885还差500多。然后那要是不指定的话，我给你算一下，不指定减一博还差465465，你们也在这个镇上混了一段时间也算小有名声这样。帮我们完成三次任务，给你们抵一半，另外一半的话就打欠条。然后给你磨个，要给你磨个名头欠232。

说话人01(02:05:12): 主要是啥咱们也不一定能活这么久。

说话人03(02:05:18): +232。

说话人02(02:05:19): 我觉得我能活那么久，我12血。我不干。

说话人03(02:05:25): 你先打上-232？那我给你揉一揉，或者说你自己揉一揉。

说话人02(02:05:37): 我好我自己揉，我看一下。不是他不是 d66，他是奥迪六。

说话人03(02:05:44): 一样！

说话人02(02:05:47): 他没有9位，他没有七。一二质疑数。治愈的是力量！用我的力量治别的力量，我去我看一下，改了之后的施法。

说话人03(02:06:10): 施法现在扣的没那么狠了，现在你才了解到，原来在那个6号房间里面发的荧光苔藓是魔力苔藓。你刚踏入法术的门槛，此前你压根不知道原来有魔力苔藓这种东西，法力苔藓，当然其实你可以买，但是你没钱了。处于负债状态中。

说话人02(02:06:44): Ok 等一下，我先记上去。

说话人01(02:06:47): 至于。

说话人02(02:06:49): Ok然后我看一下这个施法。

说话人03(02:06:52): 这就是我们单反写小语。

说话人02(02:06:59): 消耗一点力量，然后投资一等。

说话人03(02:07:04): 很贵，你法术。

说话人02(02:07:07): 等同于力量的第六是指我消耗的力量还是我？

说话人03(02:07:12): 再我再给你。

说话人02(02:07:14): 力量上限。

说话人03(02:07:14): 我再给你投一次吧，你再投一次吧，毕竟给你按了这一个珍惜的品格算，其实魔法他们基本上处于高档里面的，只是你们这个定居点的级别比较低。

说话人02(02:07:32): 第一不对不是质疑数是六六，我看错了，上一个六六是祝福数。

说话人03(02:07:44): 牛逼什么眼神？

说话人02(02:07:45): 数算二一，我看到后面的结算了，二一是沟通数。一个祝福，一个沟通，看看沟祝福是啥来着？

说话人03(02:07:57): 没有治愈术，其实是。

说话人02(02:07:59): 自己没有自己说他要给他删了。

说话人03(02:08:02): 你你的使你的意思被第一个一种生物理解持续滴滴滴。

说话人02(02:08:10): 是目标加一盟友，下一次豁免具有优势。

说话人03(02:08:24): 你自己也算的。

说话人02(02:08:27): 行。

说话人03(02:08:29): 开了个小幸运。

说话人02(02:08:32): 还真是二选一？

说话人03(02:08:35): 不两个。

说话人02(02:08:37): 两个都有太好了。

说话人03(02:08:41): 其实有点小溢价了，给你算两个好了。

说话人02(02:08:46): 祝福树沟通树！

说话人03(02:08:48): 应该算在高档里面的。传说的话不可能了。

说话人02(02:08:57): 对！

说话人03(02:08:57): 传说理论上你们在前前两三次去挖出来，本次的话整不出来。不过西真是地点是可以反复探索的。你不一定要去了一次就不去那个地点又被没有被你们直接炸掉，又不是放了个**在那里，下次继续挑战。

说话人01(02:09:25): 但是某个地方确实不该回去了。

说话人03(02:09:28): 哪个地方？

说话人02(02:09:32): 等一下，我现在施法和施法术失控没看懂。

说话人03(02:09:39): 我给你看一下简写版。

说话人02(02:09:42): 我是等于施法，他说等于力量的，第六是指我花费的力量还是我力量上限。

说话人03(02:10:09): 如此。

说话人02(02:10:25): 我看一下我现在力量多少，我的力量八，我最起码得扔3点，每次扔3点力量进去。

说话人03(02:10:37): 谁跟你说要3点力量就是投你的力量！

说话人02(02:10:41): 投地量吗！

说话人03(02:10:43): 叽里咕噜看啥，我给你发了简写版。

说话人02(02:10:47): 好，原来发了吗？太好了！

说话人03(02:11:03): 先消耗后施法。

说话人02(02:11:06): 好。

说话人03(02:11:08): 是投7d6，你可以现在试投的试投一下一次7d6看看。7d6会小于七吗孩子们？

说话人01(02:11:23): 也许可以。

说话人02(02:11:23): 1234。

说话人01(02:11:24): 也许不？

说话人03(02:11:25): 没有出没有，总之没有小于你的力量，不用看了，初一也不会没问题。直接看你的种子有没有小于你当前说白了七第六你能小于七你也是个人才。G6怎么可能小于七？我说白了。

说话人02(02:11:50): 每次施法。

说话人03(02:11:55): 除非你没有给自己整上什么阴间 buff 给自己投七投这么投出这么小的数，每个都是一，你能在七地路投出7个一也是很逆天，我让你得了。某种意义上的逆天运气怎么逆天的先别管，先给我吃一个辅食！

说话人02(02:12:19): 我去还真是。

说话人03(02:12:23): 结算完了。

说话人02(02:12:26): 太好了！

说话人01(02:12:26): 很好！

说话人03(02:12:28): 祝福术 ok祝福术和沟通术的法术效果，你可以记到下面的备注里！
